,Name,Price,Kms_driven,Fuel_type,Year,Company
424,Volkswagen Polo GT,450000,118000,Petrol,2014,Volkswagen
425,Hyundai Creta 1.6,1575000,23000,Diesel,2020,Hyundai
426,Maruti Suzuki Swift,695000,34000,Diesel,2018,Maruti
427,Honda Civic 1.8V,295000,87000,Petrol,2008,Honda
428,Hyundai Verna,1171199,36965,Petrol,2018,Hyundai
429,Honda WR V,625699,25526,Petrol,2017,Honda
430,Hyundai Grand i10,453199,20235,Petrol,2016,Hyundai
431,Maruti Suzuki Vitara,850499,61064,Diesel,2018,Maruti
432,Maruti Suzuki Ignis,548699,12558,Petrol,2018,Maruti
433,Maruti Suzuki Alto,498799,14179,Petrol,2019,Maruti
434,Honda City VX,1377199,20379,Petrol,2020,Honda
435,Ford Ecosport,772799,42837,Petrol,2017,Ford
436,Hyundai Elite i20,572599,67473,Petrol,2016,Hyundai
437,Honda City V,774899,27576,Petrol,2016,Honda
438,Maruti Suzuki S,885099,80900,Diesel,2017,Maruti
439,Hyundai Elite i20,687499,100934,Diesel,2017,Hyundai
440,Hyundai Elite i20,567799,29060,Petrol,2015,Hyundai
441,Hyundai i10 Magna,398499,36129,Petrol,2016,Hyundai
442,Maruti Suzuki Swift,348499,156442,Diesel,2011,Maruti
443,Maruti Suzuki Wagon,520899,48710,Petrol,2018,Maruti
444,Ford Figo Diesel,225000,80000,Diesel,2012,Ford
445,Honda City SV,725000,57000,Petrol,2015,Honda
446,Honda Amaze 1.2,425000,44000,Petrol,2013,Honda
447,Maruti Suzuki Swift,500000,57000,Petrol,2015,Maruti
448,Maruti Suzuki Swift,250000,77000,Petrol,2008,Maruti
449,Maruti Suzuki Ritz,360000,81000,Petrol,2013,Maruti
450,Hyundai Creta 1.6,975000,41000,Petrol,2016,Hyundai
451,Ford Ecosport,916799,20619,Petrol,2018,Ford
452,Maruti Suzuki Wagon,480999,51149,Petrol,2018,Maruti
453,Tata Nexon,1043299,12978,Petrol,2020,Tata
454,Honda City V,787399,40025,Petrol,2016,Honda
455,Hyundai Grand i10,501599,63075,Petrol,2016,Hyundai
456,Honda Brio,362999,78724,Petrol,2012,Honda
457,Renault Kwid,403199,12257,Petrol,2018,Renault
458,Hyundai Venue,1022599,26890,Diesel,2019,Hyundai
459,Nissan Micra Active,483199,20485,Petrol,2018,Nissan
460,Hyundai EON Era,321399,69220,Petrol,2017,Hyundai
461,Maruti Suzuki Alto,307999,41900,Petrol,2017,Maruti
462,Maruti Suzuki Eeco,478599,11944,Petrol,2019,Maruti
463,Maruti Suzuki Wagon,405199,66143,Petrol,2015,Maruti
464,Maruti Suzuki Alto,314999,16563,Petrol,2018,Maruti
465,Hyundai Elite i20,684599,14460,Petrol,2016,Hyundai
466,Maruti Suzuki Alto,413099,47120,Petrol,2018,Maruti
467,Chevrolet Cruze LTZ,345000,115000,Diesel,2011,Chevrolet
468,Renault Scala RxZ,385000,79200,Diesel,2013,Renault
469,Hyundai Verna 1.6,690000,48877,Diesel,2016,Hyundai
470,Honda WRV VX,825000,32000,Petrol,2019,Honda
471,Toyota Corolla Altis,1425000,51000,Petrol,2018,Toyota
472,Maruti Suzuki Alto,295000,56000,Petrol,2014,Maruti
473,Tata Tiago Revotorq,700000,14000,Petrol,2022,Tata
474,Chevrolet Aveo,69000,79000,Petrol,2006,Chevrolet
475,Maruti Suzuki Swift,501199,147960,Diesel,2016,Maruti
476,Maruti Suzuki Wagon,357399,38766,Petrol,2014,Maruti
477,Maruti Suzuki Eeco,494199,8409,Petrol,2019,Maruti
478,Renault Kwid RxL,424099,20718,Petrol,2019,Renault
479,Maruti Suzuki Baleno,598299,51125,Petrol,2017,Maruti
480,Hyundai Grand i10,477599,64459,Petrol,2014,Hyundai
481,Maruti Suzuki Swift,447599,29467,Petrol,2014,Maruti
482,Tata Nexon,703999,18019,Petrol,2017,Tata
483,Maruti Suzuki Celerio,416099,40710,Petrol,2016,Maruti
484,Maruti Suzuki S,559099,1956,Petrol,2021,Maruti
485,Renault Kwid,463099,44696,Petrol,2017,Renault
486,Hyundai Grand i10,527099,21531,Petrol,2018,Hyundai
487,Kia Seltos,1517999,20989,Petrol,2019,Kia
488,Hyundai i20,431099,33901,Petrol,2013,Hyundai
489,Hyundai Grand i10,539799,54696,Petrol,2018,Hyundai
490,MG Motors Hector,1800299,11292,Diesel,2019,MG
491,Renault Duster 110,1025000,14000,Diesel,2020,Renault
492,Mahindra Logan,129000,97000,Diesel,2007,Mahindra
493,Tata Indigo CS,79000,85000,Diesel,2007,Tata
494,Ford EcoSport Trend,525000,50000,Diesel,2014,Ford
495,Honda Jazz VX,565000,53000,Petrol,2016,Honda
496,Maruti Suzuki Wagon,435000,27000,Petrol,2016,Maruti
497,Maruti Suzuki Wagon,425000,52000,Petrol,2016,Maruti
498,Honda City ZX,250000,149000,Petrol,2007,Honda
499,Hyundai Grand i10,616599,27317,Petrol,2017,Hyundai
500,Hyundai Xcent,466599,79784,Petrol,2014,Hyundai
501,Audi Q3,1656999,73656,Diesel,2015,Audi
502,Tata Tiago,562999,27664,Petrol,2018,Tata
503,Hyundai Verna FLUIDIC,488899,41898,Petrol,2012,Hyundai
504,Maruti Suzuki S,514599,4889,Petrol,2021,Maruti
505,Hyundai Grand i10,495299,39836,Petrol,2015,Hyundai
506,Honda Jazz,752399,16108,Petrol,2016,Honda
507,Hyundai Grand i10,474799,46111,Petrol,2015,Hyundai
508,Maruti Suzuki Ciaz,849599,23761,Petrol,2018,Maruti
509,Maruti Suzuki S,663199,146782,Diesel,2016,Maruti
510,Hyundai Grand i10,566699,26597,Petrol,2016,Hyundai
511,Maruti Suzuki Eeco,471199,12323,Petrol,2018,Maruti
512,Renault Kwid RXL,385499,3230,Petrol,2017,Renault
513,Maruti Suzuki Swift,491599,62059,Petrol,2016,Maruti
514,Maruti Suzuki Baleno,725699,28188,Petrol,2019,Maruti
515,Maruti Suzuki Wagon,350000,55000,Petrol,2013,Maruti
516,Maruti Suzuki SX4,210000,79000,Petrol,2009,Maruti
517,Tata Tiago XZA,460000,55000,Petrol,2017,Tata
518,BMW 5 Series,990000,49000,Petrol,2010,BMW
519,Tata Indica Vista,190000,56000,Petrol,2009,Tata
520,Maruti Suzuki Ertiga,625000,83000,Petrol,2014,Maruti
521,Maruti Suzuki Baleno,590000,39226,Petrol,2016,Maruti
522,Maruti Suzuki Swift,740000,33901,Petrol,2019,Maruti
523,Hyundai Grand i10,640099,32877,Petrol,2019,Hyundai
524,Maruti Suzuki Ignis,575099,17283,Petrol,2019,Maruti
525,Maruti Suzuki Ertiga,1081899,86033,Diesel,2018,Maruti
526,Volkswagen Polo,726399,17419,Petrol,2018,Volkswagen
527,Maruti Suzuki Eeco,480399,24416,Petrol,2019,Maruti
528,Renault Kwid RxL,369599,26700,Petrol,2017,Renault
529,Maruti Suzuki Swift,451399,28979,Petrol,2014,Maruti
530,Maruti Suzuki Eeco,494099,27150,Petrol,2019,Maruti
531,Ford EcoSport,1240899,3195,Petrol,2020,Ford
532,Hyundai Eon Era,286199,26761,Petrol,2013,Hyundai
533,Hyundai Grand i10,509399,71992,Petrol,2017,Hyundai
534,Maruti Suzuki Alto,378099,27239,Petrol,2016,Maruti
535,Honda Jazz,586699,36244,Petrol,2016,Honda
536,Maruti Suzuki Vitara,906899,69807,Diesel,2019,Maruti
537,Maruti Suzuki Vitara,882199,31803,Diesel,2019,Maruti
538,Honda Jazz,507999,92373,Petrol,2015,Honda
539,Toyota Etios GD,240000,200000,Diesel,2013,Toyota
540,Ford EcoSport Titanium,825000,46000,Diesel,2016,Ford
541,Toyota Innova 2.5,845000,179000,Diesel,2011,Toyota
542,Hyundai Grand i10,475000,59000,Petrol,2016,Hyundai
543,Hyundai Creta 1.6,1325000,72000,Diesel,2017,Hyundai
544,Hyundai Creta 1.6,1245000,56000,Diesel,2017,Hyundai
545,Mahindra XUV 500,975000,87000,Diesel,2014,Mahindra
546,Maruti Suzuki Vitara,782999,59612,Diesel,2016,Maruti
547,Ford Ecosport,623399,30212,Petrol,2014,Ford
548,Maruti Suzuki Ignis,548699,18113,Petrol,2018,Maruti
549,Maruti Suzuki Alto,397099,48435,Petrol,2018,Maruti
550,Maruti Suzuki Wagon,392099,29297,Petrol,2015,Maruti
551,Maruti Suzuki Wagon,354599,53525,Petrol,2012,Maruti
552,Honda Amaze,719599,15890,Petrol,2018,Honda
553,Honda WR V,834099,31694,Petrol,2019,Honda
554,Maruti Suzuki Alto,365899,36279,Petrol,2017,Maruti
555,Hyundai i10 Sportz,400899,33349,Petrol,2015,Hyundai
556,Toyota Etios Liva,320199,103182,Petrol,2012,Toyota
557,Hyundai Xcent S,457399,63048,Petrol,2016,Hyundai
558,Maruti Suzuki Baleno,717699,26358,Petrol,2017,Maruti
559,Maruti Suzuki Wagon,417299,18932,Petrol,2017,Maruti
560,Maruti Suzuki Alto,323199,20369,Petrol,2018,Maruti
561,Honda Jazz 1.2,633999,58769,Petrol,2016,Honda
562,Ford EcoSport Trend,600000,52000,Diesel,2016,Ford
563,Volkswagen Polo Highline,795000,15000,Petrol,2019,Volkswagen
564,Maruti Suzuki Vitara,1000000,70000,Diesel,2019,Maruti
565,Hyundai i20 Asta,385000,52000,Petrol,2012,Hyundai
566,Hyundai i20 Asta,395000,32000,Petrol,2013,Hyundai
567,Toyota Fortuner 3.0,1750000,155000,Diesel,2015,Toyota
568,Maruti Suzuki Swift,600000,50000,Petrol,2017,Maruti
569,Mahindra Verito Executive,330000,120000,Diesel,2015,Mahindra
570,Hyundai Creta 1.6,875999,123920,Diesel,2017,Hyundai
571,Hyundai EON,309399,17900,Petrol,2016,Hyundai
572,Maruti Suzuki Baleno,658999,31041,Petrol,2017,Maruti
573,Maruti Suzuki Wagon,514099,61875,Petrol,2018,Maruti
574,Hyundai Elite i20,672899,29210,Petrol,2016,Hyundai
575,Mahindra TUV300,620099,35826,Diesel,2016,Mahindra
576,Ford Freestyle,733999,29364,Petrol,2019,Ford
577,Renault Triber,664699,16304,Petrol,2021,Renault
578,Maruti Suzuki Swift,454299,95731,Petrol,2015,Maruti
579,Maruti Suzuki Swift,357499,31011,Petrol,2010,Maruti
580,Maruti Suzuki Swift,447599,30601,Petrol,2014,Maruti
581,Maruti Suzuki S,422299,14568,Petrol,2019,Maruti
582,Toyota Etios V,449699,89559,Petrol,2012,Toyota
583,Hyundai Grand i10,493499,48834,Petrol,2014,Hyundai
584,Hyundai Elite i20,605699,74190,Diesel,2014,Hyundai
585,Ford EcoSport Titanium,755099,43077,Petrol,2016,Ford
586,Maruti Suzuki Swift,490000,58000,Petrol,2015,Maruti
587,Honda City 1.5,450000,99000,Petrol,2011,Honda
588,Tata Indigo CS,160000,88500,Diesel,2009,Tata
589,Chevrolet Beat LT,215000,85000,Diesel,2012,Chevrolet
590,Honda City ZX,1150000,29000,Petrol,2019,Honda
591,Maruti Suzuki Wagon,349000,65000,Petrol,2015,Maruti
592,MG Motors Hector,1401000,16000,Petrol,2020,MG
593,MG Motors Hector,1401000,16000,Petrol,2020,MG
594,Maruti Suzuki Eeco,432699,17981,Petrol,2018,Maruti
595,Maruti Suzuki Eeco,418599,20780,Petrol,2018,Maruti
596,Maruti Suzuki Alto,275799,56719,Petrol,2014,Maruti
597,Maruti Suzuki Wagon,456199,31108,Petrol,2015,Maruti
598,Honda City,728499,33611,Petrol,2016,Honda
599,Maruti Suzuki Alto,431599,43700,Petrol,2019,Maruti
600,Maruti Suzuki Ignis,533099,49920,Petrol,2017,Maruti
601,Maruti Suzuki Swift,451399,57338,Petrol,2014,Maruti
602,Hyundai Venue S,840699,23096,Petrol,2020,Hyundai
603,Maruti Suzuki Swift,486499,48732,Petrol,2016,Maruti
604,Honda City,450199,67924,Petrol,2012,Honda
605,Maruti Suzuki Wagon,418999,30418,Petrol,2014,Maruti
606,Honda City,621299,50593,Petrol,2014,Honda
607,Hyundai i20 Active,508399,136381,Petrol,2016,Hyundai
608,Maruti Suzuki Celerio,390999,46943,Petrol,2015,Maruti
609,Maruti Suzuki Swift,675099,36277,Petrol,2017,Maruti
610,BMW X5 xDrive30d,3600000,110000,Diesel,2014,BMW
611,Kia Seltos HTX,1501000,5600,Diesel,2021,Kia
612,Maruti Suzuki Swift,825000,44000,Diesel,2019,Maruti
613,Maruti Suzuki Ertiga,1100000,40000,Petrol,2019,Maruti
614,Kia Seltos HTX,1501000,5600,Diesel,2021,Kia
615,Maruti Suzuki Wagon,130000,45000,Petrol,2007,Maruti
616,Toyota Etios GD,325000,150000,Diesel,2012,Toyota
617,Tata Indigo CS,210000,90000,Diesel,2016,Tata
618,Hyundai Xcent,464199,70359,Diesel,2015,Hyundai
619,Hyundai EON Era,343999,42205,Petrol,2017,Hyundai
620,Nissan Micra,441499,60539,Petrol,2015,Nissan
621,Maruti Suzuki Dzire,684999,16533,Petrol,2019,Maruti
622,Volkswagen Polo,815399,26596,Petrol,2017,Volkswagen
623,Hyundai Grand i10,468999,30912,Petrol,2016,Hyundai
624,Hyundai Venue,1194799,17951,Diesel,2019,Hyundai
625,Volkswagen Polo,599899,36928,Petrol,2015,Volkswagen
626,Maruti Suzuki Dzire,710199,22854,Petrol,2018,Maruti
627,Hyundai i20,474399,89156,Petrol,2014,Hyundai
628,Maruti Suzuki Baleno,701399,41999,Petrol,2019,Maruti
629,Honda City,834599,66145,Petrol,2017,Honda
630,Maruti Suzuki Alto,333699,29157,Petrol,2017,Maruti
631,Hyundai EON Era,349799,33882,Petrol,2017,Hyundai
632,Hyundai EON Era,286199,29379,Petrol,2013,Hyundai
633,Maruti Suzuki Alto,386699,17352,Petrol,2019,Maruti
634,Toyota Fortuner 3.0,1050000,195000,Diesel,2011,Toyota
635,Maruti Suzuki Swift,695000,16189,Petrol,2020,Maruti
636,Maruti Suzuki Swift,695000,41341,Diesel,2018,Maruti
637,Tata Tiago Revotorq,550000,62000,Diesel,2019,Tata
638,Hyundai Creta 1.6,1300000,19000,Diesel,2021,Hyundai
639,Maruti Suzuki Ritz,225000,56000,Petrol,2011,Maruti
640,Maruti Suzuki Wagon,250000,91000,Petrol,2010,Maruti
641,Renault Triber,659199,13486,Petrol,2019,Renault
642,Hyundai Grand i10,572599,33562,Petrol,2018,Hyundai
643,Hyundai Verna,1171199,13691,Petrol,2018,Hyundai
644,Hyundai Grand i10,557199,31980,Petrol,2017,Hyundai
645,Hyundai Grand i10,531399,69526,Petrol,2016,Hyundai
646,Maruti Suzuki Alto,426199,21492,Petrol,2016,Maruti
647,Maruti Suzuki Celerio,432999,47425,Petrol,2016,Maruti
648,Hyundai Grand i10,458399,40988,Petrol,2016,Hyundai
649,Jeep Compass,1465199,51983,Diesel,2018,Jeep
650,Maruti Suzuki Vitara,783099,69376,Diesel,2018,Maruti
651,Maruti Suzuki Swift,562399,33094,Petrol,2017,Maruti
652,Tata Tiago,529199,26237,Petrol,2017,Tata
653,Honda Brio,447199,42415,Petrol,2015,Honda
654,Hyundai Creta,944099,112308,Diesel,2016,Hyundai
655,Maruti Suzuki Celerio,452099,61427,Petrol,2017,Maruti
656,MG Motors Hector,1917599,10205,Diesel,2019,MG
657,Maruti Suzuki Alto,179000,67000,Petrol,2011,Maruti
658,Toyota Innova 2.5,775000,160000,Diesel,2010,Toyota
659,Maruti Suzuki Ertiga,425000,53000,Diesel,2013,Maruti
660,Maruti Suzuki Swift,550000,59888,Petrol,2017,Maruti
661,Maruti Suzuki Ciaz,795000,58492,Petrol,2018,Maruti
662,Honda City 1.5,350888,45000,Petrol,2011,Honda
663,Maruti Suzuki Swift,275000,48000,Diesel,2012,Maruti
664,Tata Nexon XZ,890000,34000,Petrol,2018,Tata
665,Maruti Suzuki Swift,580599,75691,Diesel,2017,Maruti
666,Maruti Suzuki Alto,223299,84301,Petrol,2013,Maruti
667,Tata Tiago,600399,38346,Petrol,2019,Tata
668,Maruti Suzuki Alto,367399,41530,Petrol,2017,Maruti
669,Ford Ecosport,704099,23049,Petrol,2017,Ford
670,Maruti Suzuki Wagon,377899,74510,Petrol,2016,Maruti
671,Maruti Suzuki Wagon,458699,20141,Petrol,2016,Maruti
672,Ford Ecosport,566199,85860,Petrol,2015,Ford
673,Maruti Suzuki Swift,594599,63133,Diesel,2017,Maruti
674,Maruti Suzuki Dzire,678699,71894,Petrol,2018,Maruti
675,Renault Duster,883099,95627,Diesel,2017,Renault
676,Ford Ecosport,578099,75324,Diesel,2014,Ford
677,Maruti Suzuki Alto,305899,64611,Petrol,2015,Maruti
678,Maruti Suzuki Celerio,457399,77128,Petrol,2016,Maruti
679,Maruti Suzuki Alto,316799,36306,Petrol,2016,Maruti
680,Hyundai i20 Asta,399999,83803,Petrol,2011,Hyundai
681,Mahindra XUV 500,1100000,44000,Diesel,2018,Mahindra
682,Mahindra KUV100 K4,325000,108000,Diesel,2018,Mahindra
683,Hyundai i20 Era,550000,55000,Diesel,2018,Hyundai
684,Honda City 1.5,990888,700,Petrol,2020,Honda
685,Mahindra Jeep CL,480000,25,Diesel,2020,Mahindra
686,Maruti Suzuki Gypsy,500000,258,Petrol,2018,Maruti
687,Maruti Suzuki Swift,390000,81152,Diesel,2011,Maruti
688,Toyota Fortuner 3.0,1750000,155000,Diesel,2015,Toyota
689,Hyundai i20 Asta,399999,83803,Petrol,2011,Hyundai
690,Hyundai Creta 1.6,841499,75398,Petrol,2017,Hyundai
691,Honda City ZX,1016899,42317,Petrol,2017,Honda
692,Maruti Suzuki Swift,748599,60214,Diesel,2018,Maruti
693,Maruti Suzuki Swift,622099,58861,Diesel,2017,Maruti
694,Volkswagen Polo,530699,27995,Petrol,2016,Volkswagen
695,Maruti Suzuki Celerio,471899,61018,Petrol,2017,Maruti
696,Maruti Suzuki Swift,505399,67109,Petrol,2015,Maruti
697,Maruti Suzuki Wagon,460299,81811,Petrol,2017,Maruti
698,Hyundai Verna 1.6,683999,27357,Petrol,2017,Hyundai
699,Volkswagen Polo HIGHLINE1.2L,639699,53293,Petrol,2018,Volkswagen
700,Maruti Suzuki Celerio,510499,45260,Petrol,2017,Maruti
701,Hyundai Venue,1185499,3139,Petrol,2019,Hyundai
702,Maruti Suzuki Celerio,471899,44690,Petrol,2017,Maruti
703,Hyundai Santro ASTA,579899,13858,Petrol,2019,Hyundai
704,Maruti Suzuki Alto,333699,25256,Petrol,2017,Maruti
705,Hyundai i20 Magna,385000,94000,Diesel,2012,Hyundai
706,Honda Amaze 1.2,375888,47000,Petrol,2016,Honda
707,Hyundai Santa Fe,775000,126000,Diesel,2012,Hyundai
708,Mahindra XUV 500,778888,46000,Diesel,2015,Mahindra
709,Audi Q5 2.0,1850000,75000,Diesel,2014,Audi
710,Mercedes Benz GLE,7500000,35000,Petrol,2019,Mercedes
711,Volvo XC60 D3,1750000,86000,Diesel,2012,Volvo
712,Volkswagen Polo COMFORTLINE,582899,15227,Petrol,2017,Volkswagen
713,Volkswagen Polo,414099,87375,Diesel,2014,Volkswagen
714,Maruti Suzuki Eeco,516599,7679,Petrol,2020,Maruti
715,Maruti Suzuki Alto,366299,48378,Petrol,2016,Maruti
716,Maruti Suzuki Wagon,375899,54645,Petrol,2014,Maruti
717,Maruti Suzuki Eeco,493899,7211,Petrol,2019,Maruti
718,Datsun Redi GO,311399,37217,Petrol,2017,Datsun
719,Maruti Suzuki Eeco,493899,32372,Petrol,2019,Maruti
720,Maruti Suzuki Wagon,501999,37947,Petrol,2018,Maruti
721,Hyundai Grand i10,409399,51886,Petrol,2014,Hyundai
722,Toyota Innova Crysta,1737899,43187,Diesel,2018,Toyota
723,Hyundai i20 Active,583999,33616,Diesel,2015,Hyundai
724,Volkswagen Vento,654299,91087,Diesel,2015,Volkswagen
725,Ford Ecosport,986699,26372,Petrol,2018,Ford
726,Maruti Suzuki Celerio,414199,58762,Petrol,2014,Maruti
727,Hyundai Elite i20,588099,101920,Diesel,2016,Hyundai
728,Maruti Suzuki Swift,490000,44000,Petrol,2014,Maruti
729,Mahindra Scorpio 2.6,225000,85000,Diesel,2007,Mahindra
730,Maruti Suzuki Vitara,775000,64000,Diesel,2017,Maruti
731,Kia Sonet,1050000,13000,Diesel,2021,Kia
732,Honda Amaze 1.5,425000,76000,Diesel,2015,Honda
733,Maruti Suzuki Alto,275000,45000,Petrol,2015,Maruti
734,Tata Nexon XZ,875000,63088,Diesel,2019,Tata
735,Maruti Suzuki Alto,250000,54123,Petrol,2013,Maruti
736,Hyundai i20 Active,567399,35140,Petrol,2015,Hyundai
737,Maruti Suzuki Ciaz,805099,50842,Diesel,2018,Maruti
738,Honda Amaze,492199,43412,Petrol,2015,Honda
739,Honda Jazz,495799,46201,Petrol,2016,Honda
740,Maruti Suzuki S,1113599,63626,Diesel,2017,Maruti
741,Maruti Suzuki Alto,299999,18251,Petrol,2016,Maruti
742,Maruti Suzuki Baleno,592099,41019,Petrol,2016,Maruti
743,Renault Kwid RXT,322299,46463,Petrol,2015,Renault
744,Renault Kwid,481999,20110,Petrol,2017,Renault
745,Hyundai Grand i10,534599,17364,Petrol,2016,Hyundai
746,MG Motors Hector,1681899,6760,Petrol,2020,MG
747,Maruti Suzuki Celerio,429599,35109,Petrol,2016,Maruti
748,Honda Amaze,723799,44266,Petrol,2018,Honda
749,Volkswagen Polo,563299,39156,Petrol,2017,Volkswagen
750,Maruti Suzuki Alto,214199,57993,Petrol,2011,Maruti
751,Maruti Suzuki Alto,319399,51573,Petrol,2015,Maruti
752,Fiat Punto Emotion,180000,88000,Petrol,2011,Fiat
753,Hyundai i20 Sportz,415000,67000,Petrol,2014,Hyundai
754,Maruti Suzuki Swift,350000,73000,Diesel,2011,Maruti
755,Hyundai Elite i20,430000,39000,Petrol,2015,Hyundai
756,Mahindra XUV 500,450000,87500,Diesel,2012,Mahindra
757,Honda Accord 2.4,325000,86000,Petrol,2006,Honda
758,Hyundai Grand i10,565000,19900,Petrol,2017,Hyundai
759,Nissan Terrano XV,880000,22000,Diesel,2013,Nissan
760,Maruti Suzuki Vitara,810399,78329,Diesel,2016,Maruti
761,Maruti Suzuki Ertiga,788999,61977,Diesel,2016,Maruti
762,Mahindra KUV100 K6,508799,58640,Diesel,2016,Mahindra
763,Renault Kwid,457099,40650,Petrol,2018,Renault
764,Volkswagen Polo,612899,19121,Petrol,2019,Volkswagen
765,Ford Ecosport,684099,85893,Diesel,2016,Ford
766,Renault Triber,716699,9874,Petrol,2019,Renault
767,Hyundai Grand i10,501599,25202,Petrol,2016,Hyundai
768,Hyundai Grand i10,509699,95999,Petrol,2016,Hyundai
769,Maruti Suzuki Alto,337799,49074,Petrol,2014,Maruti
770,Hyundai Verna 1.6,852399,52439,Petrol,2017,Hyundai
771,Mahindra XUV 500,1784699,10813,Diesel,2020,Mahindra
772,Hyundai Creta,778199,127971,Petrol,2016,Hyundai
773,Maruti Suzuki Swift,705099,114108,Diesel,2018,Maruti
774,Hyundai Grand i10,557599,52030,Diesel,2017,Hyundai
775,Mahindra XUV 500,1518099,44721,Diesel,2018,Mahindra
776,Mahindra Marazzo M6,1190000,50000,Diesel,2018,Mahindra
777,Skoda Laura Ambition,590000,95000,Diesel,2011,Skoda
778,Tata Harrier XZ,1980000,17000,Diesel,2020,Tata
779,Mahindra XUV 500,1350000,52500,Diesel,2018,Mahindra
780,BMW 5 Series,1059000,49000,Petrol,2010,BMW
781,Maruti Suzuki Alto,185000,55000,Petrol,2011,Maruti
782,Mahindra Scorpio 2.6,710000,81500,Diesel,2014,Mahindra
783,Mercedes Benz E,1948888,10000,Diesel,2013,Mercedes
784,Tata Harrier,2272499,22667,Diesel,2020,Tata
785,Honda City,626199,68519,Petrol,2014,Honda
786,Tata Nano,236099,64011,Petrol,2015,Tata
787,Maruti Suzuki Alto,430499,13598,Petrol,2021,Maruti
788,Maruti Suzuki Wagon,442799,47037,Petrol,2014,Maruti
789,Hyundai Creta,1373699,69711,Petrol,2018,Hyundai
790,Hyundai Elite i20,589299,49189,Petrol,2015,Hyundai
791,Maruti Suzuki Alto,298199,18368,Petrol,2016,Maruti
792,Tata Harrier,1508799,16874,Diesel,2020,Tata
793,Maruti Suzuki Eeco,473699,24484,Petrol,2019,Maruti
794,Maruti Suzuki Baleno,656299,20688,Petrol,2019,Maruti
795,Maruti Suzuki Alto,345799,24065,Petrol,2016,Maruti
796,Hyundai Grand i10,584599,22609,Petrol,2018,Hyundai
797,Skoda Rapid,786799,56523,Diesel,2017,Skoda
798,Hyundai Elite i20,624799,48031,Petrol,2018,Hyundai
799,Hyundai Grand i10,472399,45578,Petrol,2016,Hyundai
800,Hyundai Fluidic Verna,408888,70070,Diesel,2012,Hyundai
801,Hyundai i10 Magna,288888,28000,Petrol,2015,Hyundai
802,Chevrolet Sail 1.2,198888,30030,Diesel,2013,Chevrolet
803,Ford Endeavor 4X4,898888,25000,Diesel,2011,Ford
804,BMW 3 Series,1148888,8000,Diesel,2013,BMW
805,Chevrolet Spark,79000,53000,Petrol,2010,Chevrolet
806,Honda City,97000,68000,Petrol,2007,Honda
807,Hyundai Santro GLS,135000,58000,Petrol,2007,Hyundai
808,Hyundai Elite i20,687199,28648,Petrol,2016,Hyundai
809,Hyundai i10 Magna,387099,59819,Petrol,2015,Hyundai
810,Maruti Suzuki Baleno,650599,19574,Petrol,2018,Maruti
811,Tata Hexa,1705799,46337,Diesel,2019,Tata
812,Volkswagen Polo,526899,73563,Petrol,2015,Volkswagen
813,Honda Jazz,612799,51428,Petrol,2016,Honda
814,Maruti Suzuki Alto,269099,95754,Petrol,2016,Maruti
815,Tata Hexa,1952199,34533,Diesel,2019,Tata
816,Maruti Suzuki Baleno,646299,50154,Petrol,2016,Maruti
817,Maruti Suzuki Celerio,425899,23492,Petrol,2016,Maruti
818,Maruti Suzuki Celerio,496399,37739,Petrol,2017,Maruti
819,Maruti Suzuki Celerio,393799,46178,Petrol,2015,Maruti
820,Maruti Suzuki Baleno,619599,42893,Petrol,2017,Maruti
821,Maruti Suzuki Alto,423599,57875,Petrol,2019,Maruti
822,Hyundai Venue,831999,4832,Petrol,2020,Hyundai
823,Renault Triber,695099,27805,Petrol,2019,Renault
824,Hyundai Xcent S,390000,71000,Diesel,2014,Hyundai
825,Toyota Fortuner 3.0,1350000,140000,Diesel,2013,Toyota
826,Toyota Innova 2.5,1350000,70000,Diesel,2014,Toyota
827,Honda City ZX,250000,75000,Petrol,2008,Honda
828,Maruti Suzuki Alto,145000,57000,Petrol,2009,Maruti
829,Maruti Suzuki Vitara,980000,57000,Diesel,2018,Maruti
830,Hyundai Creta 1.4,980000,91000,Diesel,2018,Hyundai
831,Hyundai i10 Sportz,195000,86000,Petrol,2009,Hyundai
832,Maruti Suzuki Alto,261499,68844,Petrol,2013,Maruti
833,Honda Jazz,649699,37070,Petrol,2017,Honda
834,Hyundai Grand i10,494099,20393,Petrol,2017,Hyundai
835,Maruti Suzuki Alto,313399,22244,Petrol,2017,Maruti
836,Toyota Fortuner,2122099,47024,Diesel,2016,Toyota
837,Hyundai Elite i20,552799,64707,Petrol,2015,Hyundai
838,Ford Ecosport,490099,52149,Petrol,2013,Ford
839,Hyundai Grand i10,638599,11203,Petrol,2017,Hyundai
840,Maruti Suzuki Alto,374799,18071,Petrol,2015,Maruti
841,Hyundai Elite i20,517499,81412,Petrol,2016,Hyundai
842,Maruti Suzuki Swift,553899,41912,Petrol,2016,Maruti
843,Maruti Suzuki Swift,579199,32516,Petrol,2016,Maruti
844,Hyundai Grand i10,531999,41552,Petrol,2015,Hyundai
845,Hyundai Grand i10,496199,21790,Petrol,2018,Hyundai
846,Maruti Suzuki Baleno,659099,34010,Petrol,2019,Maruti
847,Hyundai Elite i20,534799,50050,Petrol,2016,Hyundai
848,Maruti Suzuki Ertiga,950000,2000,Petrol,2019,Maruti
849,Maruti Suzuki Swift,265000,71000,Petrol,2010,Maruti
