,Name,Price,Kms_driven,Fuel_type,Year,Company
98,Maruti Suzuki Vitara,918799,32513,Diesel,2018,Maruti
99,Hyundai Grand i10,526399,21372,Petrol,2016,Hyundai
100,Volkswagen Vento,881099,34178,Petrol,2017,Volkswagen
101,Kia Seltos,1764199,20547,Petrol,2019,Kia
102,Maruti Suzuki Baleno,639199,34731,Petrol,2016,Maruti
103,Hyundai Grand i10,522999,30536,Petrol,2016,Hyundai
104,MG Motors Hector,1917599,10205,Diesel,2019,MG
105,Maruti Suzuki Wagon,466599,25483,Petrol,2017,Maruti
106,Toyota Corolla Altis,1397699,39113,Petrol,2017,Toyota
107,Maruti Suzuki Ignis,504399,43152,Petrol,2017,Maruti
108,MG Motors Hector,1920399,5325,Petrol,2020,MG
109,Ford Ecosport,917599,44705,Petrol,2018,Ford
110,Toyota Etios,319099,70022,Petrol,2011,Toyota
111,Maruti Suzuki Celerio,484399,47435,Petrol,2017,Maruti
112,Volkswagen Polo HIGHLINE1.2L,290000,89000,Petrol,2010,Volkswagen
113,Mahindra Thar DI,1790000,9826,Petrol,2021,Mahindra
114,Ford EcoSport Trend,650000,83000,Diesel,2017,Ford
115,Honda City 1.5,73000,195000,Petrol,2001,Honda
116,Toyota Innova Crysta,2200000,35000,Diesel,2019,Toyota
117,Hyundai Verna 1.6,1550000,13000,Petrol,2022,Hyundai
118,Toyota Fortuner 4x4,1595000,72000,Diesel,2015,Toyota
119,Hyundai Xcent,573499,29026,Petrol,2016,Hyundai
120,Hyundai Creta 1.6,879199,59258,Petrol,2015,Hyundai
121,Mahindra XUV 500,733399,120399,Diesel,2014,Mahindra
122,Maruti Suzuki Vitara,967599,28853,Diesel,2018,Maruti
123,Honda City,1539299,9811,Petrol,2020,Honda
124,Hyundai i20 Active,561499,43538,Petrol,2015,Hyundai
125,Hyundai Creta,1042699,66400,Petrol,2017,Hyundai
126,Maruti Suzuki S,1032099,59341,Diesel,2017,Maruti
127,Hyundai Creta,903499,56246,Petrol,2016,Hyundai
128,Honda Amaze,472499,35944,Petrol,2014,Honda
129,Honda WR V,771299,17699,Petrol,2018,Honda
130,Maruti Suzuki Wagon,447099,41065,Petrol,2017,Maruti
131,Renault Kwid,504599,2311,Petrol,2019,Renault
132,Hyundai Grand i10,620999,2991,Petrol,2018,Hyundai
133,Hyundai Grand i10,433999,29762,Petrol,2015,Hyundai
134,Skoda Rapid,627499,91917,Diesel,2016,Skoda
135,Maruti Suzuki Swift,360000,0,Diesel,2014,Maruti
136,Toyota Fortuner 3.0,1375000,131000,Diesel,2012,Toyota
137,Maruti Suzuki 800,69000,85000,Petrol,2000,Maruti
138,Tata Nano,89000,37000,Petrol,2011,Tata
139,Tata Indica,89000,67000,Diesel,2011,Tata
140,Audi Q7 3.0,2200000,120000,Diesel,2013,Audi
141,Jaguar XJ L,4425000,71000,Diesel,2016,Jaguar
142,Mercedes Benz GL,4450000,105000,Diesel,2016,Mercedes
143,Renault Kwid,504599,2311,Petrol,2019,Renault
144,Maruti Suzuki Dzire,704199,30771,Petrol,2018,Maruti
145,Hyundai Santro Sportz,513099,29488,Petrol,2018,Hyundai
146,Renault Kwid,469399,36559,Petrol,2019,Renault
147,Honda WR V,844199,38242,Diesel,2018,Honda
148,Maruti Suzuki Ignis,544799,66426,Petrol,2017,Maruti
149,Volkswagen Polo,710899,16950,Petrol,2018,Volkswagen
150,Maruti Suzuki Baleno,580599,18866,Petrol,2016,Maruti
151,Maruti Suzuki Swift,638499,53245,Diesel,2017,Maruti
152,Hyundai Verna,654699,44543,Petrol,2016,Hyundai
153,Maruti Suzuki S,894199,50128,Diesel,2018,Maruti
154,Maruti Suzuki S,858599,56349,Diesel,2018,Maruti
155,Maruti Suzuki S,992199,69524,Diesel,2017,Maruti
156,Volkswagen Polo,714999,41218,Petrol,2017,Volkswagen
157,Maruti Suzuki Baleno,765599,9085,Petrol,2020,Maruti
158,MG Motors Hector,1800299,11292,Diesel,2019,MG
159,Mercedes Benz C,1190000,75000,Diesel,2011,Mercedes
160,Hyundai Creta 1.6,1452000,28000,Diesel,2018,Hyundai
161,Skoda Rapid Style,1026000,48000,Diesel,2018,Skoda
162,Maruti Suzuki Ertiga,821000,51000,Diesel,2017,Maruti
163,Hyundai Grand i10,725000,24990,Petrol,2020,Hyundai
164,Maruti Suzuki Ertiga,600000,48600,Diesel,2015,Maruti
165,Maruti Suzuki Alto,336000,3600,Petrol,2019,Maruti
166,Tata Indigo eCS,200000,115000,Diesel,2012,Tata
167,Maruti Suzuki Dzire,680699,29594,Petrol,2019,Maruti
168,Honda City VX,714899,55953,Petrol,2015,Honda
169,Maruti Suzuki Alto,316799,16980,Petrol,2016,Maruti
170,Ford Ecosport,675099,41828,Diesel,2016,Ford
171,Maruti Suzuki S,1057399,64803,Diesel,2018,Maruti
172,Maruti Suzuki Ertiga,938099,44460,Diesel,2018,Maruti
173,Tata Nexon,1057699,14276,Diesel,2018,Tata
